intercept,slope
0,0
0,0
-8.054659955,10.84457763
-4.895206022,7.504956461
-7.647375797,10.82338915
-33.99338731,38.21836849
-3.686827804,6.355530026
-4.432429772,6.924949634
-4.473131373,7.11234052
-36.86770728,39.2636402
-2.185630804,5.371423531
-1.945562382,5.213477641
-40.84914589,43.32546784
-5.111548996,7.805754377
-2.143550339,4.936579884
-3.650239383,6.144700275
-1.919945273,5.947270171
-39.53264678,42.27312585
-41.02721728,43.52687259
-39.62684881,42.21275972
-8.594017839,11.07834689
-2.551847704,6.078851912
-3.226278136,6.06358479
-5.618370644,9.746611794
-6.926346657,11.64561334
-1.716293879,6.958658608
-40.25153164,42.87160079
-38.6869936,41.12370038
-3.720765795,6.75848565
-2.849954348,5.516914085
-7.423718952,9.992846779
-25.47642613,28.05779507
-21.66661483,24.2926681
-29.38792881,31.93119308
-40.64260765,45.84096885
-41.00909875,43.53515176
-6.914478227,9.339629648
-28.01648284,30.62651124
-33.97073269,38.84814874
-2.039678744,6.182780461
-4.064323483,6.730847692
-1.625584852,6.958764669
-2.13679522,6.28818973
-4.787606355,7.312784323
-11.93066487,15.6421979
-12.02716499,16.26893948
-2.807854009,5.701470456
-32.51137856,35.00993186
-3.992399314,6.400298275
-8.717963017,12.28787025
-21.83492463,24.37991758
-1.736262371,5.075748425
-4.390009035,6.930463821
-35.21157889,39.4723524
-33.0298714,35.42147257
-5.792988123,8.571639481
-25.47337569,29.45642577
-35.2355598,38.17464878
-42.81526226,45.59059729
-1.948512843,5.323996193
-38.50906445,41.07911252
-1.697493442,7.580629477
-3.3587364,6.649346616
-5.005108445,8.000619682
-36.27878313,38.79092156
-3.580440472,6.211102002
-43.78667497,46.50191598
-8.740421065,11.87727902
-7.252607152,9.695053158
-3.066671638,5.68691373
-34.89790466,37.40668301
-2.762861689,5.265631729
-29.40524274,33.7068364
-3.038615852,6.02502601
-26.19713735,29.58463196
-2.852914705,5.466313209
-6.50877656,9.115353816
-5.592121528,8.213453629
-2.434014093,6.909139479
-1.754326063,6.509872342
-36.91664818,42.62825087
-32.44218947,35.20300706
-14.8029554,17.34526371
-34.5364611,37.32862913
-42.87166166,45.85211462
-19.59541191,24.30116733
-36.93025599,39.38178444
-30.78412105,33.32259389
-3.18379207,7.262851322
-39.12675589,41.51774269
-2.427832527,6.744618618
-1.692093345,5.862674316
-2.216115184,5.989515789
-3.194989772,5.937503314
-5.773642104,8.36586269
-2.840559456,5.689057215
-9.647728787,12.19694588
-2.3477764,5.01188434
-7.642064086,10.5005347
-4.432435754,6.998939231
-2.425013644,6.354505685
-52.58620243,55.04077144
-35.8618149,38.26638946
-31.01741937,34.60156545
-6.616989006,9.107021482
-42.83019947,45.68683505
-2.460667047,5.465398191
-2.0226693,5.183895031
-27.17503236,30.12280923
-23.40075685,26.10622579
-7.67936398,10.5579607
-32.68528093,35.54833322
-15.93818637,18.96324878
-29.39071551,32.91027653
-4.164704463,8.81949564
-2.259901338,6.692444988
-6.024880651,8.596529551
-32.78451928,35.67094349
-38.3701567,40.7641637
-38.49450527,41.6828846
-20.63460358,23.1619142
-3.847072268,6.57049325
-2.657441651,8.155146006
-19.83163638,23.06175801
-46.93471963,49.35368022
-23.08647458,25.56632879
-16.62431165,19.56044693
-2.626659149,6.973243043
-2.088164339,7.011828573
-2.574357409,6.064116284
-15.96818466,19.89643934
-4.446478663,6.862107236
-10.29854821,12.79218262
-39.49909867,41.93134337
-3.517526719,5.999192428
-9.536570714,12.32614668
-2.495046112,7.17309377
-2.275765762,4.987027748
-3.382446367,7.711859551
-2.132385266,8.26550766
-24.30328517,28.14837056
-5.02705339,7.93430946
-2.080534113,4.95512527
-4.405772689,8.253130646
-2.495776476,6.096360962
-4.366664683,7.712578745
-30.95057014,34.68812107
-34.56691716,37.23867049
-40.34635585,43.0809362
-39.34629408,41.87513375
-40.08822533,42.78255517
-15.57703283,18.96689052
-2.054057581,6.112026848
-4.025553648,7.024837289
-6.370361069,9.293593629
-9.391307281,12.00830129
-14.63472003,17.48221117
-30.49222991,33.42428055
-35.40494947,38.21131637
-2.923899351,5.3913328
-3.874112,6.425699961
-1.729468135,5.626280356
-18.87132887,22.22754815
-3.601315129,6.256729597
-35.30870478,37.60620406
-39.07810445,41.94752278
-16.11037708,18.66514877
-4.646765588,7.254877217
-28.146886,30.55305786
-1.766334146,9.258324782
-1.757539442,5.435280281
-11.58277955,14.45654219
-2.987521018,5.714244354
-2.790718075,7.421607132
-39.46625606,41.96179186
-3.836986,6.826378492
-4.987000302,7.539463249
-8.418007006,11.01585213
-56.02261622,58.81222799
-7.057952303,9.424660017
-39.13724068,41.79422694
-2.400699854,5.539262669
-4.104540969,6.974785921
-2.651560276,5.109891835
-5.430139823,8.445752113
-38.26832881,40.61929331
-35.48098998,39.80514362
-31.29823417,34.77537791
-2.624919955,6.122981035
-36.67004634,39.17711905
-1.677300509,6.391693511
-45.22949421,48.00733308
-28.16708831,30.68907793
-3.03140129,5.658618197
-1.759788975,6.005475335
-6.786164008,9.776395105
-2.725097748,5.15367553
-3.804135273,6.961287095
-2.765151198,5.958025858
-29.88566309,32.96539333
-31.98428689,34.39493262
-1.912996174,7.388545367
-40.52920003,43.22101279
-39.54162293,42.01518838
-2.87239242,5.366754481
-31.11990383,33.86963259
-17.64294377,20.08735265
-2.47648016,4.989802555
-29.09218517,31.96067936
-1.871246842,6.341114864
-2.892878239,6.591879052
-37.31761856,39.72018643
-7.018699132,10.51388724
-29.50071076,32.53108019
-40.80313288,43.38124385
-5.660645706,8.394412379
-26.92993311,30.28136441
-2.57898954,6.849102966
-3.159127431,7.917405061
-5.886787524,8.949365007
-45.99842188,48.63236099
-5.295817738,8.958259167
-4.318838385,7.443818503
-2.386882302,5.204173459
-2.759055206,5.888391291
-2.555203399,5.587416884
-2.329584543,5.616494763
-10.57637292,13.62091198
-10.83839263,13.53642941
-39.18852679,41.66115102
-16.31916144,19.43679681
-39.30345901,41.7625469
-17.02508504,20.36901949
-26.80154054,30.36325784
-40.5020116,42.90741799
-24.0986079,26.50360648
-37.82412656,40.47697401
-44.388799,47.03485133
-4.150988192,6.900945538
-8.275400793,10.90470073
-4.346462279,6.793980365
-3.650272102,6.890732766
-4.08993936,6.736244518
-32.08010986,36.84908325
-3.367105443,5.996490988
-9.928082515,12.54406707
-3.901832433,7.528553255
-8.578803331,11.84081566
-3.193615912,5.530111232
-2.130789807,6.926322366
-2.653866142,5.517720787
-3.149557199,5.672125982
-31.16687385,33.80765425
-22.16601553,25.11011153
-2.221749551,5.438042787
-1.608541886,6.564113095
-7.408777475,9.996915333
-37.89552128,40.61894555
-16.29172385,19.81835386
-3.093802695,5.776812916
-7.494071004,10.23295965
-39.96523638,42.35538495
-35.50468016,37.85001584
-33.44948215,36.3403662
-1.678871982,6.366865355
